Antall datapunkter: 10201
X: -4.900, Y: 3.800, Z: 38.450, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 3.900, Z: 39.220, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 4.000, Z: 40.010, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 4.100, Z: 40.820, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 4.200, Z: 41.650, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 4.300, Z: 42.500, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 4.400, Z: 43.370, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 4.500, Z: 44.260, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 4.600, Z: 45.170, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 4.700, Z: 46.100, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 4.800, Z: 47.050, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 4.900, Z: 48.020, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 5.000, Z: 49.010, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -5.000, Z: 48.040, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -4.900, Z: 47.050, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -4.800, Z: 46.080, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -4.700, Z: 45.130, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -4.600, Z: 44.200, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -4.500, Z: 43.290, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -4.400, Z: 42.400, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -4.300, Z: 41.530, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -4.200, Z: 40.680, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -4.100, Z: 39.850, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -4.000, Z: 39.040, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -3.900, Z: 38.250, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -3.800, Z: 37.480, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -3.700, Z: 36.730, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -3.600, Z: 36.000, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -3.500, Z: 35.290, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -3.400, Z: 34.600, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -3.300, Z: 33.930, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -3.200, Z: 33.280, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -3.100, Z: 32.650, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -3.000, Z: 32.040, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -2.900, Z: 31.450, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -2.800, Z: 30.880, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -2.700, Z: 30.330, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -2.600, Z: 29.800, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -2.500, Z: 29.290, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -2.400, Z: 28.800, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -2.300, Z: 28.330, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -2.200, Z: 27.880, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -2.100, Z: 27.450, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -2.000, Z: 27.040, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -1.900, Z: 26.650, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -1.800, Z: 26.280, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -1.700, Z: 25.930, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -1.600, Z: 25.600, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -1.500, Z: 25.290, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -1.400, Z: 25.000, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -1.300, Z: 24.730, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -1.200, Z: 24.480, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -1.100, Z: 24.250, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -1.000, Z: 24.040, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -0.900, Z: 23.850, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -0.800, Z: 23.680, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -0.700, Z: 23.530, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -0.600, Z: 23.400, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -0.500, Z: 23.290, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -0.400, Z: 23.200, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -0.300, Z: 23.130, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -0.200, Z: 23.080, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: -0.100, Z: 23.050, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 0.000, Z: 23.040, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 0.100, Z: 23.050, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 0.200, Z: 23.080, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 0.300, Z: 23.130, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 0.400, Z: 23.200, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 0.500, Z: 23.290, r: 1.000, g: 0.000, b: 0.000
